base_currency,quote_currency,start_time,open_time,close_time,open_bid,open_ask,open_midpoint,close_bid,close_ask,close_midpoint,average_bid,average_ask,average_midpoint,high_bid,high_ask,high_midpoint,low_bid,low_ask,low_midpoint
USD,CHF,2020-12-20T00:00:00+00:00,2020-12-20T00:00:00+00:00,2020-12-20T23:59:59+00:00,0.884656,0.884656,0.884656,0.884656,0.884656,0.884656,0.884656,0.884656,0.884656,,,,,,
USD,CHF,2020-12-21T00:00:00+00:00,2020-12-21T00:00:00+00:00,2020-12-21T23:59:59+00:00,0.884656,0.884656,0.884656,0.888031,0.888031,0.888031,0.888031,0.888031,0.888031,,,,,,
USD,CHF,2020-12-22T00:00:00+00:00,2020-12-22T00:00:00+00:00,2020-12-22T23:59:59+00:00,0.888031,0.888031,0.888031,0.885448,0.885448,0.885448,0.885448,0.885448,0.885448,,,,,,
USD,CHF,2020-12-23T00:00:00+00:00,2020-12-23T00:00:00+00:00,2020-12-23T23:59:59+00:00,0.885448,0.885448,0.885448,0.890761,0.890761,0.890761,0.890761,0.890761,0.890761,,,,,,
USD,CHF,2020-12-24T00:00:00+00:00,2020-12-24T00:00:00+00:00,2020-12-24T23:59:59+00:00,0.890761,0.890761,0.890761,0.889937,0.889937,0.889937,0.889937,0.889937,0.889937,,,,,,
USD,CHF,2020-12-25T00:00:00+00:00,2020-12-25T00:00:00+00:00,2020-12-25T23:59:59+00:00,0.889937,0.889937,0.889937,0.889937,0.889937,0.889937,0.889937,0.889937,0.889937,,,,,,
USD,CHF,2020-12-26T00:00:00+00:00,2020-12-26T00:00:00+00:00,2020-12-26T23:59:59+00:00,0.889937,0.889937,0.889937,0.889937,0.889937,0.889937,0.889937,0.889937,0.889937,,,,,,
USD,CHF,2020-12-27T00:00:00+00:00,2020-12-27T00:00:00+00:00,2020-12-27T23:59:59+00:00,0.889937,0.889937,0.889937,0.889937,0.889937,0.889937,0.889937,0.889937,0.889937,,,,,,
USD,CHF,2020-12-28T00:00:00+00:00,2020-12-28T00:00:00+00:00,2020-12-28T23:59:59+00:00,0.889937,0.889937,0.889937,0.888289,0.888289,0.888289,0.888289,0.888289,0.888289,,,,,,
USD,CHF,2020-12-29T00:00:00+00:00,2020-12-29T00:00:00+00:00,2020-12-29T23:59:59+00:00,0.888289,0.888289,0.888289,0.886043,0.886043,0.886043,0.886043,0.886043,0.886043,,,,,,
USD,CHF,2020-12-30T00:00:00+00:00,2020-12-30T00:00:00+00:00,2020-12-30T23:59:59+00:00,0.886043,0.886043,0.886043,0.884049,0.884049,0.884049,0.884049,0.884049,0.884049,,,,,,
USD,CHF,2020-12-31T00:00:00+00:00,2020-12-31T00:00:00+00:00,2020-12-31T23:59:59+00:00,0.884049,0.884049,0.884049,0.880287,0.880287,0.880287,0.880287,0.880287,0.880287,,,,,,
USD,CHF,2021-01-01T00:00:00+00:00,2021-01-01T00:00:00+00:00,2021-01-01T23:59:59+00:00,0.880287,0.880287,0.880287,0.880287,0.880287,0.880287,0.880287,0.880287,0.880287,,,,,,
USD,CHF,2021-01-02T00:00:00+00:00,2021-01-02T00:00:00+00:00,2021-01-02T23:59:59+00:00,0.880287,0.880287,0.880287,0.880287,0.880287,0.880287,0.880287,0.880287,0.880287,,,,,,
USD,EUR,2020-12-03T00:00:00+00:00,2020-12-03T00:00:00+00:00,2020-12-03T23:59:59+00:00,0.828775,0.828775,0.828775,0.822978,0.822978,0.822978,0.822978,0.822978,0.822978,0.828775,0.828775,0.828775,0.822978,0.822978,0.822978
USD,EUR,2020-12-04T00:00:00+00:00,2020-12-04T00:00:00+00:00,2020-12-04T23:59:59+00:00,0.822978,0.822978,0.822978,0.822436,0.822436,0.822436,0.822436,0.822436,0.822436,0.822978,0.822978,0.822978,0.822436,0.822436,0.822436
USD,EUR,2020-12-05T00:00:00+00:00,2020-12-05T00:00:00+00:00,2020-12-05T23:59:59+00:00,0.822436,0.822436,0.822436,0.822436,0.822436,0.822436,0.822436,0.822436,0.822436,0.822436,0.822436,0.822436,0.822436,0.822436,0.822436
USD,EUR,2020-12-06T00:00:00+00:00,2020-12-06T00:00:00+00:00,2020-12-06T23:59:59+00:00,0.822436,0.822436,0.822436,0.822436,0.822436,0.822436,0.822436,0.822436,0.822436,0.822436,0.822436,0.822436,0.822436,0.822436,0.822436
USD,EUR,2020-12-07T00:00:00+00:00,2020-12-07T00:00:00+00:00,2020-12-07T23:59:59+00:00,0.822436,0.822436,0.822436,0.824538,0.824538,0.824538,0.824538,0.824538,0.824538,0.824538,0.824538,0.824538,0.822436,0.822436,0.822436
USD,EUR,2020-12-08T00:00:00+00:00,2020-12-08T00:00:00+00:00,2020-12-08T23:59:59+00:00,0.824538,0.824538,0.824538,0.825491,0.825491,0.825491,0.825491,0.825491,0.825491,0.825491,0.825491,0.825491,0.824538,0.824538,0.824538
USD,EUR,2020-12-09T00:00:00+00:00,2020-12-09T00:00:00+00:00,2020-12-09T23:59:59+00:00,0.825491,0.825491,0.825491,0.825832,0.825832,0.825832,0.825832,0.825832,0.825832,0.825832,0.825832,0.825832,0.825491,0.825491,0.825491
USD,EUR,2020-12-10T00:00:00+00:00,2020-12-10T00:00:00+00:00,2020-12-10T23:59:59+00:00,0.825832,0.825832,0.825832,0.825423,0.825423,0.825423,0.825423,0.825423,0.825423,0.825832,0.825832,0.825832,0.825423,0.825423,0.825423
USD,EUR,2020-12-11T00:00:00+00:00,2020-12-11T00:00:00+00:00,2020-12-11T23:59:59+00:00,0.825423,0.825423,0.825423,0.824606,0.824606,0.824606,0.824606,0.824606,0.824606,0.825423,0.825423,0.825423,0.824606,0.824606,0.824606
USD,EUR,2020-12-12T00:00:00+00:00,2020-12-12T00:00:00+00:00,2020-12-12T23:59:59+00:00,0.824606,0.824606,0.824606,0.824606,0.824606,0.824606,0.824606,0.824606,0.824606,0.824606,0.824606,0.824606,0.824606,0.824606,0.824606
USD,EUR,2020-12-13T00:00:00+00:00,2020-12-13T00:00:00+00:00,2020-12-13T23:59:59+00:00,0.824606,0.824606,0.824606,0.824606,0.824606,0.824606,0.824606,0.824606,0.824606,0.824606,0.824606,0.824606,0.824606,0.824606,0.824606
USD,EUR,2020-12-14T00:00:00+00:00,2020-12-14T00:00:00+00:00,2020-12-14T23:59:59+00:00,0.824606,0.824606,0.824606,0.822233,0.822233,0.822233,0.822233,0.822233,0.822233,0.824606,0.824606,0.824606,0.822233,0.822233,0.822233
USD,EUR,2020-12-15T00:00:00+00:00,2020-12-15T00:00:00+00:00,2020-12-15T23:59:59+00:00,0.822233,0.822233,0.822233,0.823723,0.823723,0.823723,0.823723,0.823723,0.823723,0.823723,0.823723,0.823723,0.822233,0.822233,0.822233
USD,EUR,2020-12-16T00:00:00+00:00,2020-12-16T00:00:00+00:00,2020-12-16T23:59:59+00:00,0.823723,0.823723,0.823723,0.820412,0.820412,0.820412,0.820412,0.820412,0.820412,0.823723,0.823723,0.823723,0.820412,0.820412,0.820412
USD,EUR,2020-12-17T00:00:00+00:00,2020-12-17T00:00:00+00:00,2020-12-17T23:59:59+00:00,0.820412,0.820412,0.820412,0.816593,0.816593,0.816593,0.816593,0.816593,0.816593,0.820412,0.820412,0.820412,0.816593,0.816593,0.816593
USD,EUR,2020-12-18T00:00:00+00:00,2020-12-18T00:00:00+00:00,2020-12-18T23:59:59+00:00,0.816593,0.816593,0.816593,0.815727,0.815727,0.815727,0.815727,0.815727,0.815727,0.816593,0.816593,0.816593,0.815727,0.815727,0.815727
USD,EUR,2020-12-19T00:00:00+00:00,2020-12-19T00:00:00+00:00,2020-12-19T23:59:59+00:00,0.815727,0.815727,0.815727,0.815727,0.815727,0.815727,0.815727,0.815727,0.815727,0.815727,0.815727,0.815727,0.815727,0.815727,0.815727
USD,EUR,2020-12-20T00:00:00+00:00,2020-12-20T00:00:00+00:00,2020-12-20T23:59:59+00:00,0.815727,0.815727,0.815727,0.815727,0.815727,0.815727,0.815727,0.815727,0.815727,0.815727,0.815727,0.815727,0.815727,0.815727,0.815727
USD,EUR,2020-12-21T00:00:00+00:00,2020-12-21T00:00:00+00:00,2020-12-21T23:59:59+00:00,0.815727,0.815727,0.815727,0.821490,0.821490,0.821490,0.821490,0.821490,0.821490,0.821490,0.821490,0.821490,0.815727,0.815727,0.815727
USD,EUR,2020-12-22T00:00:00+00:00,2020-12-22T00:00:00+00:00,2020-12-22T23:59:59+00:00,0.821490,0.821490,0.821490,0.817060,0.817060,0.817060,0.817060,0.817060,0.817060,0.821490,0.821490,0.821490,0.817060,0.817060,0.817060
USD,EUR,2020-12-23T00:00:00+00:00,2020-12-23T00:00:00+00:00,2020-12-23T23:59:59+00:00,0.817060,0.817060,0.817060,0.821963,0.821963,0.821963,0.821963,0.821963,0.821963,0.821963,0.821963,0.821963,0.817060,0.817060,0.817060
USD,EUR,2020-12-24T00:00:00+00:00,2020-12-24T00:00:00+00:00,2020-12-24T23:59:59+00:00,0.821963,0.821963,0.821963,0.820143,0.820143,0.820143,0.820143,0.820143,0.820143,0.821963,0.821963,0.821963,0.820143,0.820143,0.820143
USD,EUR,2020-12-25T00:00:00+00:00,2020-12-25T00:00:00+00:00,2020-12-25T23:59:59+00:00,0.820143,0.820143,0.820143,0.820143,0.820143,0.820143,0.820143,0.820143,0.820143,0.820143,0.820143,0.820143,0.820143,0.820143,0.820143
USD,EUR,2020-12-26T00:00:00+00:00,2020-12-26T00:00:00+00:00,2020-12-26T23:59:59+00:00,0.820143,0.820143,0.820143,0.820143,0.820143,0.820143,0.820143,0.820143,0.820143,0.820143,0.820143,0.820143,0.820143,0.820143,0.820143
USD,EUR,2020-12-27T00:00:00+00:00,2020-12-27T00:00:00+00:00,2020-12-27T23:59:59+00:00,0.820143,0.820143,0.820143,0.820143,0.820143,0.820143,0.820143,0.820143,0.820143,0.820143,0.820143,0.820143,0.820143,0.820143,0.820143
